FB-1-1,FB-1-2,FB-1-3,FB-1-4,FB-1-5,FB-1-6,FB-1-7,FB-1-8,SGW-1-1,SGW-1-2,SGW-1-3,SGW-1-4,SGW-1-5,SGW-1-6,SGW-2-1,SGW-2-2,SGW-2-3,SGW-2-4,SGW-2-5,SGW-2-6,SGW-2-7,SGW-2-8,HV-1-1,HV-1-2,HV-1-3,HV-1-4,HV-1-5,HV-1-6,HV-1-7,HV-1-8,HV-2-1,HV-2-2,HV-2-3,HV-2-4,HV-2-5,ICC-1-1,ICC-1-2,ICC-1-3,ICC-1-4,ICC-1-5,ICC-1-6,ICC-2-1,ICC-2-2,ICC-2-3,ICC-2-4,IMN-1-1,IMN-1-2,IMN-1-3,IMN-1-4,IMN-1-5,CF-1-1,CF-1-2,CF-1-3,CF-1-4,BR-1-1,BR-1-2,BR-1-3,BR-1-4,SC-1-1,SC-1-2,SC-1-3,SC-1-4,EML-1-1,EML-1-2,EML-1-3,EML-1-4
2.614169597,2.583316225,2.924480306,2.820720867,2.737932357,2.955661734,3.018092144,3.164075538,2.287248758,2.460295659,3.383717402,3.341828531,3.35229865,2.986866014,2.09591367,2.196316292,2.29738327,2.55250063,3.258121166,3.32089262,3.687987276,3.394193046,2.135990192,2.09591367,2.186244907,2.810361096,3.40467002,2.903705895,3.373243107,3.19540826,2.075919546,2.135990192,2.156071332,2.399043041,3.132759653,2.480752961,2.429646523,2.135990192,2.645059292,2.55250063,3.53049054,2.206394317,2.29738327,3.57246734,3.153635,2.156071332,2.490988793,3.919351674,2.851818414,3.836224356,4.372191015,3.244528211,3.217350768,4.310943033,4.232846399,2.487917546,2.472567725,3.077478555,2.94734441,2.877753295,5.452150145,5.741613882,3.277469708,2.905263601,2.278132818,2.709007064
2.779300634,2.614169597,3.091032723,2.966060672,2.903705895,3.216305712,3.091032723,3.582964184,2.246771335,2.511474526,3.49901945,3.49901945,3.730022796,3.310426873,2.176180235,2.266997781,3.174517947,2.614169597,5.158470604,3.950932118,4.045716413,3.908826453,2.246771335,2.036022787,2.246771335,2.976462111,3.730022796,2.914091754,3.540983126,3.279038747,2.065933798,2.156071332,2.135990192,2.450074311,3.394193046,4.267139291,2.686299614,2.226569988,2.665671901,2.358312355,4.182743097,2.186244907,2.327822074,4.140566038,3.488531362,2.246771335,2.573040089,5.099154523,3.376385253,3.761558736,6.207926169,4.831822256,4.852011764,5.806029269,5.777620676,3.251324342,3.870942295,4.666296711,3.874625019,4.38222629,7.341122352,8.112330432,4.310943033,5.693689484,3.095725375,4.484748246
2.984785038,2.810361096,3.258121166,3.19540826,3.153635,3.481190391,3.387383725,3.804144514,4.605383056,2.717268626,4.743172704,3.457074147,3.519999056,3.383717402,2.624462197,2.460295659,3.446590817,4.849354857,3.730022796,3.961460523,4.626564987,3.698494802,2.55250063,2.36848691,2.34814332,3.091032723,4.309359478,2.986866014,4.003582091,3.866733589,2.706942029,2.115937429,4.098402444,3.028505542,3.782587012,8.830210391,3.582964184,3.730022796,3.887778412,2.480752961,7.803492433,2.665671901,4.161652861,4.541870163,3.698494802,2.712621218,2.717268626,5.211982027,2.903705895,4.277692916,7.911960377,6.492214464,7.160516506,7.820737562,8.150690023,4.3843391,5.402039654,6.350275578,5.360609975,6.208484224,10.14267282,11.72039629,11.37734021,8.482317736,5.367600913,7.328946585
3.070181641,2.717268626,3.433488392,3.49901945,4.179579342,3.82465369,3.446590817,4.151109026,5.971203311,3.059759308,4.140566038,3.730022796,3.593462058,3.488531362,4.056251998,3.143196362,5.850352843,5.469950947,6.451362542,4.743172704,5.00899692,4.404412921,3.57246734,2.256881456,2.256881456,3.111892145,4.838728422,3.028505542,4.024647652,3.719512571,2.624462197,2.388852317,4.626564987,3.57246734,3.82465369,3.887778412,4.045716413,4.721957117,3.237210085,4.014114473,5.051653086,3.656470241,3.007681067,4.605383056,3.85621239,3.070181641,2.713653913,2.945265335,6.170577482,4.863172095,9.638961432,7.754483751,9.821747035,9.765185738,12.95115764,4.835009618,6.318222848,7.607064458,6.018640813,7.159318421,11.50574454,12.85682879,13.87065283,12.88467872,6.158331139,8.330808349
3.665924469,3.011324678,4.590029657,4.332587169,4.161652861,4.762272449,4.131605159,4.943485516,6.795480765,4.066788391,4.637158096,3.645966444,4.066788391,3.540983126,5.051653086,3.174517947,6.737516274,7.464899802,4.764394984,4.425547482,5.41604095,5.126397541,3.898302032,2.460295659,2.317669997,3.164075538,5.105029015,2.997272345,4.19328951,4.014114473,3.29996263,3.35229865,7.006407874,5.190568804,3.993050506,12.00038561,6.315975944,5.426815413,5.265567629,2.945265335,4.721957117,4.785624144,6.092788991,5.664871083,4.38328269,3.434536514,3.677480667,6.992821341,3.925667189,4.838728422,14.35444321,12.49331466,14.59062635,12.58960047,20.56251401,8.006047967,7.575851055,10.62058919,11.03257863,9.209860234,12.77722246,17.90382334,13.87065283,12.88467872,6.158331139,8.330808349
4.893559335,3.362770183,4.425547482,4.066788391,5.152588688,5.762883912,4.605383056,5.126397541,8.28829153,5.094348707,5.50234332,3.898302032,3.866733589,3.57246734,5.643143169,3.35229865,6.610882995,6.877077557,5.982225111,4.690145885,5.4915419,5.513148758,4.330475363,2.986866014,2.603881033,3.35229865,4.987683014,3.457074147,5.308492543,4.172197549,3.950932118,3.993050506,8.355875825,6.451362542,4.404412921,8.989620076,6.192865525,7.330163532,5.545589606,3.132759653,5.50234332,5.643143169,7.269485919,4.977029499,4.753782996,4.818543392,3.236687393,7.803492433,3.362770183,5.944225462,16.75468781,15.76326982,19.29988865,15.58344504,25.71894053,11.68882032,10.09555717,12.22883402,13.23875304,13.34674789,15.11411441,23.00698323,66.99863414,31.13906106,11.0750234,17.48330657
4.785624144,3.469655746,5.51585075,5.207698442,5.769432428,5.958535746,4.940291983,5.695865817,6.440034641,5.4915419,5.340720706,3.993050506,3.961460523,3.593462058,6.204020292,4.58420671,8.194542739,8.830210391,8.561869464,5.372979566,5.675742041,5.675742041,4.58420671,3.122324904,2.706942029,3.82465369,5.480744457,3.540983126,5.126397541,4.488978273,4.22493402,3.940404507,7.765282124,5.319231917,4.478403563,12.7703324,7.626466496,8.603672856,6.633819217,4.594794195,5.70838348,5.329974626,4.881245783,5.329974626,4.987683014,5.405270174,4.408639484,9.03290153,5.329437411,5.872274122,19.62226321,20.33606012,22.86058083,19.03590983,29.07096272,16.54119833,17.43388277,14.04987775,15.50809792,16.2382511,20.08943428,26.85361212,69.33946734,38.11712378,14.26573354,23.98013477
5.626316686,3.726869635,5.850900605,5.581318141,5.276294044,6.925120562,5.288633361,5.984430205,8.81586999,4.288247482,5.523958256,4.098402444,4.08786361,3.645966444,7.427979444,6.888777996,8.383057686,10.00131432,6.406101773,5.643143169,5.839400485,5.072995839,5.73016871,4.351595227,3.216305712,4.077325594,6.11498007,3.961460523,5.588902936,5.762883912,4.140566038,6.360974228,9.092697075,6.877077557,5.105029015,9.740263614,8.931295507,6.519512306,7.790738539,5.426815413,5.556411544,6.645301727,8.194542739,5.971203311,4.764394984,5.683354523,6.327213611,9.999656185,6.144981157,6.513252024,26.14295442,27.29768123,29.89393392,24.98036755,40.69179693,27.13205444,23.72018601,17.76938197,19.49083134,29.57040973,31.02534039,30.61857895,71.46107556,50.62398406,23.55234102,34.27215852
7.030074142,4.922198937,6.360974228,5.276294044,5.50234332,9.394602211,5.971203311,6.660243483,8.916778749,6.004287146,5.7519738,4.214384964,4.541870163,3.772072447,7.101364278,6.98278916,10.01791443,8.873381199,9.804736865,5.62143362,6.048486456,5.861310705,5.762883912,4.140566038,3.310426873,4.362156681,6.18171794,4.140566038,5.719273636,5.62143362,5.222693072,5.137085826,10.82080018,10.42690938,5.362223138,9.90242565,9.440874316,9.935253809,7.906152037,6.137198287,6.048486456,7.053788563,9.363900697,6.103881167,5.072995839,9.212115528,5.205021442,11.73060679,5.265567629,7.378956958,56.11525811,60.26809034,63.96450238,50.77747815,74.38559081,74.39519159,51.33167117,52.28761575,55.99407539,54.29915315,53.66256255,37.93150949,-9999,67.41328966,56.18667343,62.23444126
6.493919083,5.567237716,6.737516274,5.459161329,6.134975231,9.853433052,6.372243842,6.691329323,7.440271473,5.861310705,5.308492543,4.288247482,4.172197549,3.82465369,9.004266168,7.689317429,8.589715405,10.63940498,6.714402605,5.839400485,6.137198287,6.18171794,6.679807655,4.775008692,4.64775266,5.062323214,6.553707306,5.094348707,6.496760557,6.215182302,5.319231917,8.194542739,10.85756423,11.56867495,5.588902936,14.80682722,9.048362144,7.3911909,9.077892023,5.828453581,6.170577482,6.679807655,7.970895532,5.329974626,4.913154703,9.918822999,6.70286095,13.8295467,5.545589606,7.727224593,44.28814796,59.5031375,54.1409624,52.90659063,65.95669412,79.69860782,58.88358094,57.62092633,57.76060142,60.85643534,52.96691098,40.04117191,-9999,68.37369454,67.89171751,60.57698966
