FB-1-1,FB-1-2,FB-1-3,FB-1-4,FB-1-5,FB-1-6,FB-1-7,FB-1-8,SGW-1-1,SGW-1-2,SGW-1-3,SGW-1-4,SGW-1-5,SGW-1-6,SGW-2-1,SGW-2-2,SGW-2-3,SGW-2-4,SGW-2-5,SGW-2-6,SGW-2-7,SGW-2-8,HV-1-1,HV-1-2,HV-1-3,HV-1-4,HV-1-5,HV-1-6,HV-1-7,HV-1-8,HV-2-1,HV-2-2,HV-2-3,HV-2-4,HV-2-5,ICC-1-1,ICC-1-2,ICC-1-3,ICC-1-4,ICC-1-5,ICC-1-6,ICC-2-1,ICC-2-2,ICC-2-3,ICC-2-4,IMN-1-1,IMN-1-2,IMN-1-3,IMN-1-4,IMN-1-5,CF-1-1,CF-1-2,CF-1-3,CF-1-4,BR-1-1,BR-1-2,BR-1-3,BR-1-4,SC-1-1,SC-1-2,SC-1-3,SC-1-4,EML-1-1,EML-1-2,EML-1-3,EML-1-4
0,0,0,0,0,0,0,0.002005975,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.003981072,0,0.003158627,0.008834617,0.008934463,0.007167288,0.013937537,0.012930875,0.001805378,0,0.012557293,0.002005975,0.00301349,0.022862988,0.03614078,0.005781495,0.004884703,0,0.002005975
0,0,0,0,0,0.003981072,0,0.011011855,0,0,0,0,0.007985932,0,0,0,0.005980592,0,0.027074356,0.007022821,0.00301349,0.00301349,0,0,0,0,0.002005975,0,0,0,0,0,0,0,0,0.013937537,0,0,0,0,0,0,0,0,0,0,0,0.009949219,0,0,0.015022568,0.013132207,0.020937761,0.022089508,0.022282878,0.010860076,0.004031273,0.024065525,0.007696998,0.012930875,0.039009246,0.047429897,0.006710153,0.010202371,0.005980592,0.011011855
0,0,0.002005975,0.00301349,0.005980592,0.008984385,0.00301349,0.016019581,0.008984385,0,0.01,0,0,0,0,0,0.027074356,0.027074356,0.003981072,0,0.016019581,0.007022821,0,0,0,0,0.007985932,0,0.003981072,0.01,0.011011855,0,0,0.013937537,0.00301349,0.065857411,0,0.011011855,0.025118864,0,0.054895265,0,0.007985932,0.003981072,0,0.002056351,0,0.007985932,0,0.002005975,0.021586221,0.01886513,0.029980557,0.027074356,0.03912036,0.017082764,0.005881044,0.032084082,0.011208868,0.020995348,0.047658845,0.054646643,0.015521075,0.01671065,0.00928907,0.017975471
0,0,0.003739176,0.004633694,0.018022455,0.016019581,0.003981072,0.019013837,0.03693532,0,0.002005975,0.004985106,0.027074356,0.00301349,0.011011855,0.003981072,0.041110569,0.027958356,0.091789013,0.022089508,0.0361526,0.03111883,0,0,0,0,0.019013837,0,0.007022821,0.003981072,0.005980592,0.002005975,0.002005975,0.004985106,0.003981072,0,0.003981072,0.004985106,0.00301349,0.002005975,0.005980592,0,0.01,0.00301349,0.00301349,0.012930875,0.000100299,0,0.011011855,0.008984385,0.032004321,0.024225735,0.039189291,0.033266397,0.065196544,0.019013837,0.008152083,0.036793596,0.015022568,0.025159872,0.053739698,0.06152942,0.02518922,0.031171239,0.01199692,0.020191454
0.003884314,0.001303884,0.015371523,0.013937537,0.022089508,0.025939015,0.018171162,0.02552894,0.038967063,0.01199692,0.012930875,0.005980592,0.018022455,0.00301349,0.027958356,0.004985106,0.027958356,0.043838982,0.025939015,0.007022821,0.024065525,0.030134901,0,0,0.00301349,0,0.025118864,0,0.011011855,0.016019581,0.013937537,0.007022821,0.003981072,0.038141287,0.007022821,0.089843854,0.011011855,0.007985932,0.033902565,0,0.01,0.00301349,0.018022455,0.013937537,0.007022821,0.008285468,0.008984385,0.016019581,0.002912739,0.003981072,0.052633369,0.044221696,0.062862283,0.050882262,0.121460264,0.034961976,0.018543546,0.055233327,0.034627501,0.032871075,0.058918059,0.077418882,0.047760599,0.065352446,0.016551173,0.029903386
0.014909664,0.01,0.022089508,0.018022455,0.027914156,0.042000631,0.017082764,0.025939015,0.053159562,0.020059753,0.027958356,0.011011855,0.041110569,0.007022821,0.013937537,0.016019581,0.043838982,0.038967063,0.044788116,0.01199692,0.057914952,0.041110569,0,0.003981072,0,0,0.022089508,0.00301349,0.022089508,0.024065525,0.025939015,0.011011855,0.015022568,0.057298009,0.01199692,0.056083771,0,0.008984385,0.020937761,0.00301349,0.011011855,0.00301349,0.023056358,0.003981072,0.011011855,0.012557293,0.009238289,0.016019581,0.002005975,0.016019581,0.064074321,0.059306437,0.070608697,0.057890363,0.140431504,0.066216154,0.025548799,0.067540264,0.048308581,0.040355635,0.063129703,0.09973426,0.076768602,0.071483232,0.020978822,0.037850389
0.011011855,0.006189038,0.022572933,0.020059753,0.036191736,0.041780042,0.028871219,0.032648128,0.024065525,0.025118864,0.020937761,0.013937537,0.043838982,0.008984385,0.022089508,0.015022568,0.03111883,0.047251827,0.122566587,0.032134885,0.0361526,0.047760599,0.002005975,0.00301349,0.023056358,0.004985106,0.032830619,0.007985932,0.0361526,0.017082764,0.027074356,0.007985932,0.017082764,0.011011855,0.01199692,0.1,0.018022455,0.011011855,0.041110569,0.01,0.013937537,0.002005975,0.016019581,0.004985106,0.012930875,0.027958356,0.017082764,0.021974333,0.011011855,0.008984385,0.072810023,0.074571283,0.077421533,0.066037355,0.159856352,0.096376158,0.037046383,0.080251307,0.068103277,0.058826532,0.073461186,0.162533673,0.086169006,0.089223805,0.030184097,0.047033118
0.022333336,0.010961262,0.027118556,0.023056358,0.035009511,0.054694666,0.035009511,0.037357408,0.065857411,0.005980592,0.025118864,0.018022455,0.048794637,0.011011855,0.030134901,0.025939015,0.041110569,0.054895265,0.049851062,0.047251827,0.041110569,0.057298009,0.027958356,0.013937537,0.015022568,0.011011855,0.048794637,0.012930875,0.047251827,0.063775102,0.018022455,0.024065525,0.025118864,0.012930875,0.018022455,0.059168836,0.004985106,0.011011855,0.03693532,0.007022821,0.018022455,0.00301349,0.027074356,0.016019581,0.011011855,0.017275394,0.022089508,0.025118864,0.017082764,0.020937761,0.085991544,0.091790065,0.087851303,0.07994576,0.192797775,0.134906494,0.061190069,0.102345789,0.126300999,0.113906856,0.133317416,0.222799109,0.086308521,0.109716794,0.046681268,0.058197583
0.032134885,0.024899424,0.043838982,0.027074356,0.038141287,0.074889099,0.030134901,0.045477966,0.073302077,0.03693532,0.027958356,0.020937761,0.024065525,0.013937537,0.027958356,0.03693532,0.032830619,0.05093036,0.140876064,0.041110569,0.047760599,0.053159562,0.018022455,0.005980592,0.038141287,0.015022568,0.039810717,0.020937761,0.03693532,0.039810717,0.032830619,0.012930875,0.038967063,0.085159393,0.020059753,0.061100746,0.005980592,0.015022568,0.042000631,0.017082764,0.019013837,0.00301349,0.03111883,0.018022455,0.015022568,0.048794637,0.023464442,0.024065525,0.013937537,0.015022568,0.16631693,0.173596558,0.163664123,0.153396388,0.192608377,0.18177697,0.174172192,0.183643541,0.449810136,0.423626595,0.220779947,0.201785466,-9999,0.139376174,0.185613394,0.203303199
0.034340363,0.038141287,0.049851062,0.028871219,0.042873356,0.084252228,0.032830619,0.03693532,0.027958356,0.012930875,0.024065525,0.024065525,0.053159562,0.018022455,0.042909963,0.03111883,0.042909963,0.067283252,0.054895265,0.054895265,0.074889099,0.063775102,0.039810717,0.007022821,0.025939015,0.017082764,0.053731945,0.028871219,0.048794637,0.065155861,0.027074356,0.038141287,0.035009511,0.093776285,0.022089508,0.113714004,0.028871219,0.013937537,0.039810717,0.008984385,0.020059753,0.007985932,0.020937761,0.004985106,0.012930875,0.053731945,0.025118864,0.03204052,0.016019581,0.016019581,0.328661567,0.485607328,0.174062346,0.142700365,0.249317008,0.187516062,0.255127818,0.279889386,0.291362896,0.422719697,0.235191131,0.20374099,-9999,0.06259606,0.165871633,0.216467694
