FB-1-1,FB-1-2,FB-1-3,FB-1-4,FB-1-5,FB-1-6,FB-1-7,FB-1-8,SGW-1-1,SGW-1-2,SGW-1-3,SGW-1-4,SGW-1-5,SGW-1-6,SGW-2-1,SGW-2-2,SGW-2-3,SGW-2-4,SGW-2-5,SGW-2-6,SGW-2-7,SGW-2-8,HV-1-1,HV-1-2,HV-1-3,HV-1-4,HV-1-5,HV-1-6,HV-1-7,HV-1-8,HV-2-1,HV-2-2,HV-2-3,HV-2-4,HV-2-5,ICC-1-1,ICC-1-2,ICC-1-3,ICC-1-4,ICC-1-5,ICC-1-6,ICC-2-1,ICC-2-2,ICC-2-3,ICC-2-4,IMN-1-1,IMN-1-2,IMN-1-3,IMN-1-4,IMN-1-5,CF-1-1,CF-1-2,CF-1-3,CF-1-4,BR-1-1,BR-1-2,BR-1-3,BR-1-4,SC-1-1,SC-1-2,SC-1-3,SC-1-4,EML-1-1,EML-1-2,EML-1-3,EML-1-4
1864,1861,1894,1884,1876,1897,1903,1917,1832,1849,1938,1934,1935,1900,1813,1823,1833,1858,1926,1932,1967,1939,1817,1813,1822,1883,1940,1892,1937,1920,1811,1817,1819,1843,1914,1851,1846,1817,1867,1858,1952,1824,1833,1956,1916,1819,1852,1989,1887,1981.1,2031.95,1924.7,1922.1,2026.15,2018.75,1851.7,1850.2,1908.7,1896.2,1889.5,2133.35,2160.05,1927.85,1892.15,1831.1,1873.2
1880,1864,1910,1898,1892,1922,1910,1957,1828,1854,1949,1949,1971,1931,1821,1830,1918,1864,2106,1992,2001,1988,1828,1807,1828,1899,1971,1893,1953,1928,1810,1819,1817,1848,1939,2022,1871,1826,1869,1839,2014,1822,1836,2010,1948,1828,1860,2100.45,1937.3,1974,2202.35,2075.35,2077.25,2165.95,2163.35,1925.35,1984.4,2059.75,1984.75,2032.9,2299.9,2360.8,2026.15,2155.65,1910.45,2042.6
1899.8,1883,1926,1920,1916,1947.3,1938.35,1978.05,2054,1874,2067,1945,1951,1938,1865,1849,1944,2077,1971,1993,2056,1968,1858,1840,1838,1910,2026,1900,1997,1984,1873,1815,2006,1904,1976,2413,1957,1971,1986,1851,2337,1869,2012,2048,1968,1873.55,1874,2111,1892,2023,2345.45,2227.6,2284.95,2338.35,2363.7,2033.1,2128.7,2215.05,2124.85,2202.4,2497.45,2582.5,2565.35,2388.25,2125.5,2298.9
1908,1874,1942.75,1949,2013.7,1980,1944,2011,2181,1907,2010,1971,1958,1948,2002,1915,2170,2135,2224,2067,2092,2035,1956,1829,1829,1912,2076,1904,1999,1970,1865,1842,2056,1956,1980,1986,2001,2065,1924,1998,2096,1964,1902,2054,1983,1908,1873.65,1896,2199,2078.3,2466.65,2333.15,2478.05,2474.55,2638.8,2075.65,2212.2,2321.45,2185.3,2284.85,2571.85,2634.75,2676.25,2635.95,2197.9,2377.15
1964.9,1902.35,2052.55,2028.2,2012,2068.8,2009.15,2085.85,2254,2003,2057,1963,2003,1953,2096,1918,2249,2310,2069,2037,2130,2103,1987,1849,1835,1917,2101,1901,2015,1998,1930,1935,2272,2109,1996,2596,2212,2131,2116,1896,2065,2071,2192,2153,2033,1942.85,1966,2270.85,1989.6,2076,2694.6,2618.75,2703.25,2623.05,2873.7,2352.7,2318.95,2524.95,2547.4,2438.85,2631.3,2807.35,2676.25,2635.95,2197.9,2377.15
2081.157895,1936,2037,2003,2105.45,2162,2054,2103,2374,2100,2138,1987,1984,1956,2151,1935,2238,2261,2182,2062,2137,2139,2028,1900,1863,1935,2090,1945,2120,2013,1992,1996,2379,2224,2035,2424,2201,2299,2142,1914,2138,2151,2294,2089,2068,2074.1,1923.95,2337,1936,2178.55,2774.45,2743.5,2843.7,2737.6,2975.35,2580.95,2494.65,2606.7,2650.9,2655.35,2721.75,2925.5,3366.25,3057.95,2549.65,2795.65
2071,1946.2,2139.25,2110.6,2162.6,2179.85,2085.55,2155.85,2223,2137,2123,1996,1993,1958,2202,2052,2367,2413,2394,2126,2154,2154,2052,1913,1873,1980,2136,1953,2103,2043,2018,1991,2334,2121,2042,2631,2323,2397,2240,2053,2157,2122,2080,2122,2090,2129,2035.4,2426.95,2121.95,2172,2851.6,2868.5,2922.6,2837.1,3028.65,2768,2794.25,2683.15,2735.1,2758.65,2862.75,2994.3,3379.6,3142.1,2691.3,2944.2
2149.45,1970.7,2170.05,2145.3,2117,2265.1,2118.15,2182.2,2412,2024,2140,2006,2005,1963,2307,2262,2381,2489,2220,2151,2169,2098,2159,2030,1922,2004,2194,1993,2146,2162,2010,2216,2431,2261,2101,2473,2420,2230,2336,2131,2143,2241,2367,2181,2069,2154.7,2213,2488.9,2196.7,2229.45,2982.55,3001.45,3040.6,2962.45,3168.75,2998.8,2939.3,2803.65,2848.4,3035.95,3056.4,3050.8,3391.3,3256.3,2936.1,3098.2
2274,2083.85,2216,2117,2138,2451,2181,2242.3,2419,2184,2161,2017,2048,1975,2280,2270,2490,2416,2477,2149,2188,2171,2162,2010,1931,2031,2200,2010,2158,2149,2112,2104,2536,2514,2125,2483,2454,2485,2345,2196,2188,2276,2449,2193,2098,2439,2110.35,2583,2116,2303,3296.95,3324.95,3348.2,3257.5,3406.85,3406.9,3261.8,3269.1,3296.1,3284,3279.35,3140.1,-9999,3368.65,3297.45,3337.5
2227.75,2144,2249,2134,2195.8,2480,2217,2245,2308,2171,2120,2024,2013,1980,2425,2328,2396,2526,2247,2169,2196,2200,2244,2070,2058,2097,2233,2100,2228,2203,2121,2367,2538,2575,2146,2711,2428,2304,2430,2168,2199,2244,2350,2122,2083,2484,2246,2674.65,2142,2331,3202.95,3319.95,3282.85,3273.75,3360.15,3433.55,3315.85,3307.35,3308.3,3328.75,3274.2,3162.2,-9999,3374.15,3371.4,3326.95
2304,2181,2232.25,2195.35,2163,2552,2256.15,2285,2351,2343,2169,1986,2030,1985,2322,2410,2524,2428,2509,2178,2203,2139,2235,2176,2096,2112,2230,2148,2238,2189,2198,2225,2560,2380,2143,2456,2463,2512,2474,2244,2162,2330,2484,2207,2112,2583,2293,2622,2191,2374,3340.75,3365.9,3336,3249.6,-9999,-9999,3342.25,3311.15,3330.15,3347.35,3325.7,3241,-9999,3406,3368.75,3346.8
