FB-1-1,FB-1-2,FB-1-3,FB-1-4,FB-1-5,FB-1-6,FB-1-7,FB-1-8,SGW-1-1,SGW-1-2,SGW-1-3,SGW-1-4,SGW-1-5,SGW-1-6,SGW-2-1,SGW-2-2,SGW-2-3,SGW-2-4,SGW-2-5,SGW-2-6,SGW-2-7,SGW-2-8,HV-1-1,HV-1-2,HV-1-3,HV-1-4,HV-1-5,HV-1-6,HV-1-7,HV-1-8,HV-2-1,HV-2-2,HV-2-3,HV-2-4,HV-2-5,ICC-1-1,ICC-1-2,ICC-1-3,ICC-1-4,ICC-1-5,ICC-1-6,ICC-2-1,ICC-2-2,ICC-2-3,ICC-2-4,IMN-1-1,IMN-1-2,IMN-1-3,IMN-1-4,IMN-1-5,CF-1-1,CF-1-2,CF-1-3,CF-1-4,BR-1-1,BR-1-2,BR-1-3,BR-1-4,SC-1-1,SC-1-2,SC-1-3,SC-1-4,EML-1-1,EML-1-2,EML-1-3,EML-1-4
0.00498861,0.008276873,0.008971186,0.004151052,0.009106672,0.011982515,0.003377786,0.008531671,0,0,0.027878498,0.024862237,0.042539138,0.034638844,0,0.005634286,0,0.009816361,0.027303371,0.048621945,0.049702765,0.052831846,0.004991973,0.000714364,0,0.000794805,0.002838755,0.001119048,0.018921095,0.001844992,0.001921597,0.001334702,0.000320481,0.003722819,0.067762836,0.008572575,0.029095043,0.004049031,0.025838425,0.004675786,0.031859389,0,0.002096375,0.05031402,0.057370403,0.023462584,0.005815832,0.073549955,0.006070039,0.015078671,0.097539221,0.055811321,0.038628205,0.069600783,0.100814017,0.032265477,0.01574508,0.075960942,0.05797553,0.029648533,0.047382214,0.079043601,0.056596522,0.058054976,0.009113924,0.034358007
0.015298405,0.012289902,0.020781356,0.011438455,0.019746151,0.023726967,0.006852079,0.019568053,0.002033725,0.003170984,0.033708317,0.026969206,0.042770748,0.036308186,0.006332587,0.009611429,0.040231424,0.019632721,0.047749731,0.068928757,0.054831797,0.072602599,0.007723429,0.001071546,0.009368821,0.005475325,0.014360758,0.003764069,0.021336554,0.002359648,0.003406468,0.002053388,0.002243369,0.004942363,0.073948655,0.041434114,0.042851276,0.008037628,0.03838425,0.004842778,0.04012766,0.002206201,0.002227398,0.083681999,0.081697075,0.055763093,0.01177706,0.104176794,0.0107393,0.018798077,0.171841952,0.119743793,0.1035,0.135459589,0.15295364,0.075593404,0.050328022,0.136729696,0.117665118,0.074747709,0.099604126,0.14535865,0.11565773,0.150085308,0.043632911,0.086594163
0.0256082,0.020566775,0.038042373,0.023061401,0.033992232,0.032535306,0.013511142,0.02332512,0.070792982,0.017626943,0.050599847,0.031709887,0.042770748,0.041733547,0.018120941,0.036457143,0.098831537,0.085434699,0.062087117,0.083372335,0.0659447,0.077362225,0.017142246,0.022216727,0.010038023,0.018722078,0.021374152,0.005290043,0.033011272,0.026800935,0.020264116,0.002464066,0.038564587,0.025610427,0.08603912,0.108705017,0.106884717,0.065751425,0.101486762,0.022627465,0.045968548,0.008244226,0.057781336,0.092941176,0.098320301,0.061970682,0.029369952,0.105429193,0.01151751,0.030157343,0.243442766,0.185144985,0.188717949,0.203937779,0.257716407,0.115485266,0.090440487,0.195520769,0.193991163,0.129033755,0.154011709,0.205344585,0.275132123,0.248053081,0.092164557,0.148718233
0.037691724,0.023576547,0.042244068,0.028596137,0.053287557,0.042772024,0.014572732,0.033970141,0.090355475,0.042062176,0.051123036,0.035713128,0.053965258,0.047784912,0.065566629,0.070704762,0.150543392,0.120816746,0.089016469,0.088377535,0.081698157,0.096034602,0.032494916,0.023431146,0.010623574,0.020841558,0.028554531,0.005290043,0.034621578,0.028063298,0.025592181,0.014784394,0.070719548,0.046214304,0.091850041,0.127159866,0.137927545,0.066718358,0.106863544,0.035485877,0.050140611,0.031351282,0.065511719,0.109712517,0.105212858,0.104056035,0.044345719,0.137422285,0.019922179,0.039807692,0.300543289,0.235772592,0.259290598,0.251460894,0.344911264,0.139872939,0.120337395,0.240647861,0.24803444,0.164737269,0.1882799,0.247327707,0.34560392,0.335630332,0.116544304,0.187770503
0.060639332,0.047153094,0.076879661,0.054701643,0.0696976,0.06594351,0.03252325,0.049389767,0.135097414,0.055865285,0.064128018,0.041612642,0.059215098,0.052166934,0.088169093,0.07567619,0.157231991,0.146490304,0.096122826,0.092667707,0.090857143,0.10018402,0.037769453,0.026002857,0.023171103,0.025345455,0.030641851,0.005493506,0.039452496,0.029228556,0.070138297,0.027104723,0.094435167,0.058024627,0.09203749,0.188715719,0.177370197,0.101830103,0.138825526,0.054105525,0.056436633,0.049000893,0.089357985,0.138188854,0.128931364,0.104582102,0.102649435,0.169187668,0.033151751,0.044331294,0.438341081,0.360095333,0.4255,0.375226803,0.508421767,0.264157881,0.218088097,0.333239306,0.423372607,0.257858717,0.252523,0.347960619,0.515576055,0.508393365,0.200278481,0.307424259
0.094118451,0.072485342,0.081762712,0.055439608,0.087099459,0.097526564,0.040629935,0.069114364,0.168121226,0.073398964,0.066594481,0.044141005,0.062303238,0.053210273,0.149449048,0.076670476,0.173903573,0.166986002,0.136516854,0.103107124,0.101603687,0.112144105,0.061222305,0.040075833,0.057885932,0.031438961,0.045754044,0.024313853,0.055958132,0.035249056,0.082017261,0.032546201,0.110031925,0.07111868,0.100472698,0.193954515,0.201352303,0.108961231,0.150848608,0.067130929,0.060077706,0.077217047,0.114514485,0.141158779,0.137445699,0.175916775,0.104684976,0.218372777,0.062723735,0.069965035,0.499764672,0.422818272,0.479559829,0.436501686,0.553711518,0.38827521,0.314058107,0.387265964,0.490019259,0.327804199,0.328396989,0.402390999,0.630686077,0.536596209,0.266696203,0.380035512
0.100215642,0.077125407,0.104247458,0.076102623,0.118116244,0.101811701,0.055395683,0.07107117,0.18361627,0.085709845,0.068014565,0.046247974,0.064464937,0.055609952,0.162016797,0.133013333,0.216131594,0.169574933,0.146864707,0.114833593,0.103679724,0.116171481,0.085711228,0.068578965,0.067756654,0.052633766,0.063955471,0.028688312,0.061090982,0.05059162,0.090227722,0.060164271,0.125308202,0.073750327,0.107408313,0.210266221,0.2149868,0.128783352,0.167352342,0.069051341,0.062732655,0.080119944,0.125389431,0.153387881,0.14818998,0.219895969,0.165605816,0.219966739,0.073151751,0.08041958,0.561908774,0.486232373,0.536863248,0.472331122,0.586349149,0.486161125,0.404498594,0.430055797,0.533778181,0.411425589,0.407471425,0.439662447,0.684544057,0.582199052,0.343594937,0.441660193
0.116622627,0.095184039,0.119010169,0.088002306,0.121362186,0.130379287,0.068327777,0.083594724,0.191460636,0.087388601,0.072499042,0.048987034,0.06739867,0.058322632,0.181404255,0.190350476,0.26075553,0.199239759,0.160828074,0.124700988,0.113205069,0.117513939,0.097578936,0.090938565,0.100547529,0.054841558,0.07564446,0.042116883,0.079206924,0.069915483,0.11922637,0.098973306,0.181712917,0.107897564,0.124466178,0.24181806,0.248586096,0.144858609,0.188336728,0.093682715,0.072062905,0.104852622,0.138753822,0.158279522,0.149000869,0.238834378,0.19177706,0.254123065,0.110972763,0.091678322,0.688718768,0.602088381,0.551311966,0.481124769,0.623821985,0.604831035,0.522680412,0.482644141,0.597904158,0.530228512,0.516911068,0.483684951,0.726808879,0.629286256,0.44943038,0.507679503
0.179811693,0.1522443,0.147172881,0.105713462,0.130829519,0.179182246,0.088208458,0.116390781,0.217899054,0.097554404,0.077581449,0.051936791,0.07133605,0.060930979,0.214918253,0.205706667,0.283416903,0.229336073,0.186884716,0.126274051,0.123096774,0.122395606,0.136478647,0.1125838,0.143543726,0.062083117,0.09334493,0.04252381,0.080615942,0.075353354,0.154426536,0.110985626,0.216859037,0.109758973,0.130277099,0.270274247,0.270985626,0.1586374,0.197746096,0.105956653,0.072214616,0.126334056,0.16613772,0.164743476,0.160556038,0.339313158,0.192649435,0.335528975,0.136964981,0.128671329,0.81363742,0.71250149,0.8165,0.747272925,0.777742666,0.815017572,0.747703843,0.774981401,0.789172992,0.714383482,0.713465291,0.646061885,-9999,0.79058673,0.729227848,0.756075907
0.180587699,0.163781759,0.158755932,0.114938022,0.13921487,0.193545393,0.096604667,0.133767213,0.243078501,0.128704663,0.080421617,0.053938412,0.071722067,0.065313002,0.235085106,0.216754286,0.284714691,0.233003724,0.196983223,0.13099324,0.12602765,0.128375649,0.157670984,0.138800967,0.156927757,0.079833766,0.093678901,0.066227273,0.109400161,0.088462507,0.200020797,0.157905544,0.237369843,0.124008384,0.138431133,0.304921739,0.272446465,0.169877993,0.205736592,0.122739385,0.076083256,0.131907618,0.181598486,0.173129146,0.160556038,0.355936872,0.203990307,0.337122937,0.150038911,0.13701486,0.88884079,0.864211519,0.852474359,0.847932122,0.779032054,0.8218897,0.824648547,0.824153751,0.863684151,0.862417353,0.810727628,0.658438819,-9999,0.828932701,0.879265823,0.852657863
