FB-1-1,FB-1-2,FB-1-3,FB-1-4,FB-1-5,FB-1-6,FB-1-7,FB-1-8,SGW-1-1,SGW-1-2,SGW-1-3,SGW-1-4,SGW-1-5,SGW-1-6,SGW-2-1,SGW-2-2,SGW-2-3,SGW-2-4,SGW-2-5,SGW-2-6,SGW-2-7,SGW-2-8,HV-1-1,HV-1-2,HV-1-3,HV-1-4,HV-1-5,HV-1-6,HV-1-7,HV-1-8,HV-2-1,HV-2-2,HV-2-3,HV-2-4,HV-2-5,ICC-1-1,ICC-1-2,ICC-1-3,ICC-1-4,ICC-1-5,ICC-1-6,ICC-2-1,ICC-2-2,ICC-2-3,ICC-2-4,IMN-1-1,IMN-1-2,IMN-1-3,IMN-1-4,IMN-1-5,CF-1-1,CF-1-2,CF-1-3,CF-1-4,BR-1-1,BR-1-2,BR-1-3,BR-1-4,SC-1-1,SC-1-2,SC-1-3,SC-1-4,EML-1-1,EML-1-2,EML-1-3,EML-1-4
0,0,0,0,0,0,0,0,0.063723368,0.004010363,0,0,0,0,0.024258679,0,0.007587067,0,0,0,0,0,0,0,0.009201521,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.007431415,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.004545178,0.003511401,0.003633898,0.002951859,0.003155778,0.004047075,0.00212318,0.007201044,0.110499032,0.012963731,0.010837486,0.005899514,0.005172636,0.000626003,0.043548712,0.073577143,0.099630176,0.070224734,0.031791596,0.012298492,0.016730415,0.022443466,0.013751472,0.019430707,0.040570342,0.005916883,0.009518177,0.001322511,0.005837359,0.002718935,0.013887907,0.007084189,0.048179028,0.008536809,0.004311328,0.107514381,0.057094456,0.042242873,0.065118805,0.012273939,0.009406105,0.046910808,0.012054156,0.019042459,0.016015059,0.002945975,0.011340872,0.03427018,0.006536965,0.016284965,0.031612435,0.008466733,0.016021368,0.013471119,0.00024176,0.013828062,0.006747891,0.008539988,0.004839696,0.000521981,0.075952049,0.019831224,0.006572499,0.013441706,0.248810127,0.013183886
0.013968109,0.00752443,0.018964407,0.01531277,0.031557775,0.013172831,0.002798737,0.020115959,0.110789564,0.024901554,0.018012649,0.009270665,0.009032811,0.001669342,0.080862262,0.080758095,0.114604651,0.094064466,0.039895336,0.020735829,0.021004608,0.034769676,0.039559028,0.034289482,0.047429658,0.006005195,0.015279179,0.004170996,0.008756039,0.007768387,0.047777893,0.013552361,0.062814342,0.012323815,0.010122249,0.129779264,0.112606336,0.065811859,0.118438561,0.029891633,0.017370953,0.092079878,0.026728781,0.026205219,0.018042282,0.007996217,0.011922456,0.063303057,0.006692607,0.026437937,0.119334689,0.101428004,0.114311966,0.106739911,0.122088917,0.190492025,0.087347704,0.10616553,0.119883313,0.131017283,0.14698634,0.07721519,0.201008936,0.129056872,0.268291139,0.201154145
0.050218679,0.026837134,0.046218644,0.036990487,0.061131918,0.033804976,0.013511142,0.03819684,0.162794805,0.047005181,0.022048678,0.011904376,0.011812138,0.002086677,0.098301232,0.120198095,0.155135564,0.133437781,0.054731414,0.028172127,0.026133641,0.036966427,0.047847586,0.043290471,0.063406844,0.013423377,0.01711602,0.006917749,0.013083736,0.010778637,0.084899657,0.047638604,0.100097004,0.026316479,0.013777506,0.170022742,0.138049281,0.091858609,0.135465037,0.042750044,0.020025902,0.107755519,0.031314602,0.034590889,0.022502172,0.037455964,0.054378029,0.093929896,0.02848249,0.055590035,0.298111563,0.22220854,0.255064103,0.220776678,0.242566099,0.390454177,0.216963449,0.215567266,0.237145123,0.272891776,0.249010315,0.117932489,0.367968675,0.291264455,0.438721519,0.312617911
0.059419894,0.038374593,0.050420339,0.039850101,0.061492579,0.034281103,0.014186699,0.039214379,0.210054688,0.059502591,0.02219816,0.015380875,0.020922153,0.006155698,0.130353863,0.139089524,0.180791832,0.144980095,0.058097584,0.030317213,0.030285714,0.039041135,0.106526812,0.076722717,0.078380228,0.013688312,0.02671769,0.009766234,0.018518519,0.017770185,0.10577519,0.050308008,0.105545187,0.028434635,0.02399348,0.178714381,0.147666471,0.094215507,0.141961982,0.044085983,0.021315449,0.140732423,0.056471102,0.035114993,0.027164784,0.042821847,0.077786753,0.119888704,0.030661479,0.061621503,0.407539221,0.346876862,0.430021368,0.25389318,0.33411264,0.503341444,0.330927835,0.336565406,0.370841736,0.400881568,0.395450237,0.21673699,0.369155376,0.321446445,0.497620253,0.364554433
0.106091116,0.056809446,0.071542373,0.052579994,0.080878069,0.05062811,0.03040007,0.058782432,0.219254871,0.07880829,0.026383672,0.016118314,0.022157409,0.012624398,0.189782755,0.164278095,0.214634146,0.178528316,0.07156226,0.034321373,0.030285714,0.045021178,0.118959649,0.080508847,0.090844106,0.023667532,0.030140894,0.013021645,0.022041063,0.025150153,0.13791827,0.084291581,0.138554764,0.046150118,0.034022005,0.209789967,0.180413611,0.123404789,0.1565241,0.05836383,0.027156337,0.164187827,0.088047751,0.045771782,0.027164784,0.082697718,0.110791599,0.133209671,0.056653696,0.087657343,0.43302731,0.383767627,0.466683761,0.43921462,0.463534951,0.620670451,0.45529522,0.405424675,0.453318228,0.424475119,0.524326735,0.308227848,0.51393293,0.420403791,0.615531646,0.477816003
0.112853455,0.065964169,0.078923729,0.060882099,0.087009294,0.055151311,0.031558168,0.060582693,0.253731343,0.08011399,0.028476428,0.016539708,0.023624276,0.015024077,0.212092945,0.182838095,0.220024957,0.186187235,0.074055718,0.040041602,0.040177419,0.053808179,0.175472546,0.109083416,0.122631179,0.029761039,0.041829883,0.02095671,0.025764895,0.036414314,0.202029739,0.109958932,0.155753929,0.048910139,0.039739201,0.219076923,0.183091816,0.124976055,0.161004752,0.059532777,0.028901018,0.191939518,0.131678556,0.04664529,0.034665508,0.09332427,0.138562197,0.144481259,0.066614786,0.09479458,0.551281232,0.460400199,0.552294872,0.469337539,0.58014397,0.736407137,0.517525773,0.571909485,0.501009403,0.566454008,0.568118205,0.382489451,0.556380321,0.488272038,0.678075949,0.58059039
0.118618071,0.082141694,0.087554237,0.077763044,0.092870024,0.055865501,0.035032462,0.064026671,0.286270935,0.09746114,0.032064009,0.018752026,0.025168347,0.015232745,0.238397536,0.20736381,0.244283607,0.216391422,0.095998153,0.045475819,0.046771889,0.059422097,0.207308145,0.120941862,0.14086692,0.037974026,0.049511219,0.030519481,0.045994364,0.048163999,0.210152854,0.131724846,0.156288065,0.058473932,0.044612877,0.241103679,0.207073922,0.146550741,0.178553971,0.069886303,0.033452359,0.192171749,0.141112243,0.084031402,0.049869679,0.103319541,0.140743134,0.173286427,0.07844358,0.095297203,0.562359094,0.502647468,0.681448718,0.480563472,0.666613546,0.826666667,0.611527648,0.71466212,0.60052566,0.602679504,0.651173683,0.48045007,0.669208225,0.572963033,0.780949367,0.608056819
0.139681093,0.103962541,0.1005,0.08016143,0.104681648,0.067609953,0.038892788,0.069740542,0.311256694,0.11984456,0.041107704,0.025915721,0.032579884,0.015754414,0.267040314,0.250228571,0.276927964,0.255117504,0.115571802,0.057059282,0.067898618,0.0799251,0.249221877,0.143158589,0.168053232,0.050072727,0.069215516,0.038556277,0.0522343,0.064671822,0.323439742,0.277002053,0.211410855,0.081388525,0.051642217,0.28646689,0.250533881,0.194957811,0.194460285,0.096688577,0.052340426,0.300623963,0.168103072,0.085778417,0.058384014,0.125414352,0.155282714,0.200839197,0.095564202,0.110074301,0.695473562,0.626538232,0.765487179,0.668784945,-9999,-9999,-9999,-9999,0.705184094,0.734740749,-9999,-9999,0.681166523,0.694927962,0.790405063,0.641515925
0.161630979,0.115750814,0.101522034,0.089570481,0.112976835,0.083639543,0.051052816,0.082577185,0.340503589,0.141015544,0.047610195,0.027285251,0.033274716,0.016276083,0.283894737,0.27000381,0.320753261,0.284674457,0.135519471,0.061921477,0.072417051,0.080901433,0.351416033,0.189735136,0.198501901,0.074623377,0.090923639,0.063480519,0.078401771,0.096425103,0.351040865,0.282135524,0.249334479,0.092749542,0.058296659,0.29051505,0.272811675,0.235448119,0.213727088,0.099443951,0.056740056,0.368087278,0.227587713,0.126309155,0.078250796,0.158135713,0.171276252,0.204596392,0.121245136,0.118317308,0.789410227,0.705589871,0.840089744,0.742876101,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.768069569,0.786133649,-9999,-9999
